1 518 0.281658 0.292138
1 582 0.300204 0.601796
1 646 0.51042 0.67378
1 710 0.728394 0.756218
1 774 1.11714 1.09515
1 838 1.43013 1.63721
1 518 0.325232 0.176955
1 582 0.547722 0.3311
1 646 0.677852 0.474434
1 710 0.754538 0.751994
1 774 1.30682 1.17705
1 838 1.74533 1.41706
1 902 2.15312 1.83663
1 966 2.7006 2.21124
1 1030 3.20774 2.68356
1 1094 3.83524 3.35574
1 1158 4.64484 4.46878
1 1222 5.5521 5.13444
1 1286 5.72088 5.58726
1 1350 6.69356 6.78276
1 1414 9.6764 9.71054
1 1478 13.2672 13.4707
1 1542 12.863 12.7687
