5000000	1.89784	1.65545	2.76855	2.10476	2.50244	2.18354	3.01026	2.29001
10000000	1.79909	2.28085	2.46278	2.86422	2.87371	2.5501	3.45434	2.72924
15000000	1.74717	2.48289	2.26751	3.12252	2.39859	2.63517	2.98161	3.08226
20000000	1.43642	3.21615	2.58927	2.91792	3.07996	2.88338	2.44778	2.82696
25000000	1.95247	3.04436	2.956	3.00531	3.0628	2.49403	2.8407	2.91102
30000000	1.84176	2.97999	2.59178	2.50716	2.52737	2.69106	2.15909	2.58638
35000000	2.15373	2.93595	2.45029	2.80457	2.4218	2.62848	2.49902	2.27106
40000000	1.80565	3.04647	2.79317	2.81341	2.38881	2.41018	2.63973	2.66083
45000000	1.7084	2.75406	2.8603	2.69947	2.71744	2.62248	2.71528	2.59128
50000000	1.69964	2.5882	2.42666	2.29254	2.88353	2.65288	2.5199	2.38345
55000000	2.08453	2.6658	2.7345	2.71116	2.856	2.6316	2.29668	2.52096
60000000	1.7351	2.51151	2.36149	2.69528	2.68093	2.63282	2.5626	2.63135
65000000	1.90688	2.94693	2.63582	2.58976	2.45836	2.61191	2.66935	2.33172
70000000	1.75584	2.83053	2.57628	2.67121	2.68229	2.87917	2.75037	2.43842
75000000	1.8069	2.77655	2.65859	2.80493	2.72902	2.43292	2.57286	2.60594
80000000	1.78331	2.41091	2.54545	2.5933	2.29103	2.58518	2.58332	2.54057
85000000	1.5423	2.5015	2.32676	2.06554	2.31766	2.26574	2.60968	2.71841
90000000	1.67226	2.46264	2.43972	2.47123	2.75612	2.63958	2.58085	2.58935
